Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	24	7.667731629392971	8.537087609681465E-8	ENSG00000149260, ENSG00000137809, ENSG00000068078, ENSG00000105974, ENSG00000150093, ENSG00000137309, ENSG00000178209, ENSG00000031081, ENSG00000198910, ENSG00000159840, ENSG00000072163, ENSG00000162909, ENSG00000099250, ENSG00000148180, ENSG00000197702, ENSG00000005884, ENSG00000146648, ENSG00000120896, ENSG00000159251, ENSG00000120913, ENSG00000259207, ENSG00000101311, ENSG00000125266, ENSG00000162434	292	391	18224	3.8308516974389515	2.3476716359938088E-5	2.347699092662403E-5	2.279402391784951E-5
KEGG_PATHWAY	hsa05410:Hypertrophic cardiomyopathy (HCM)	9	2.8753993610223643	3.273489143008223E-5	ENSG00000111725, ENSG00000137809, ENSG00000159251, ENSG00000150093, ENSG00000140416, ENSG00000132470, ENSG00000106617, ENSG00000259207, ENSG00000005884	112	78	6879	7.086881868131869	0.006232960606014304	0.003147467583390991	0.0030491092214100226
KEGG_PATHWAY	hsa04151:PI3K-Akt signaling pathway	18	5.7507987220447285	3.2786120660322826E-5	ENSG00000172380, ENSG00000181104, ENSG00000137809, ENSG00000068078, ENSG00000105810, ENSG00000150093, ENSG00000074211, ENSG00000132470, ENSG00000005884, ENSG00000186350, ENSG00000146648, ENSG00000051382, ENSG00000100889, ENSG00000169047, ENSG00000259207, ENSG00000081052, ENSG00000124762, ENSG00000162434	112	345	6879	3.2045031055900624	0.006242684671826426	0.003147467583390991	0.0030491092214100226
GOTERM_CC_DIRECT	GO:0009986~cell surface	23	7.348242811501597	6.345685894734841E-5	ENSG00000181104, ENSG00000149260, ENSG00000068078, ENSG00000196352, ENSG00000150093, ENSG00000143061, ENSG00000136378, ENSG00000132470, ENSG00000198910, ENSG00000117525, ENSG00000168140, ENSG00000099250, ENSG00000005884, ENSG00000171867, ENSG00000137440, ENSG00000146648, ENSG00000035862, ENSG00000169992, ENSG00000162512, ENSG00000057019, ENSG00000259207, ENSG00000163235, ENSG00000168899	292	542	18224	2.648435525451145	0.017299799825440942	0.008725318105260407	0.008471490669471013
KEGG_PATHWAY	hsa05200:Pathways in cancer	18	5.7507987220447285	1.6571101243413578E-4	ENSG00000172380, ENSG00000181104, ENSG00000245848, ENSG00000134954, ENSG00000068078, ENSG00000105810, ENSG00000150093, ENSG00000157500, ENSG00000005884, ENSG00000137841, ENSG00000186350, ENSG00000146648, ENSG00000051382, ENSG00000082512, ENSG00000081052, ENSG00000163235, ENSG00000124762, ENSG00000162434	112	393	6879	2.813113413304253	0.03115770065316492	0.01060550479578469	0.010274082770916418
GOTERM_CC_DIRECT	GO:0043235~receptor complex	10	3.1948881789137378	2.0408815750526288E-4	ENSG00000186350, ENSG00000146648, ENSG00000144935, ENSG00000150093, ENSG00000173890, ENSG00000110888, ENSG00000132470, ENSG00000259207, ENSG00000099250, ENSG00000005884	292	127	18224	4.914248732607054	0.054583749017642735	0.018708081104649096	0.018163846017968395
GOTERM_CC_DIRECT	GO:0005887~integral component of plasma membrane	41	13.099041533546327	2.945534881503873E-4	ENSG00000181104, ENSG00000105974, ENSG00000076641, ENSG00000171488, ENSG00000184185, ENSG00000164251, ENSG00000259803, ENSG00000033867, ENSG00000057019, ENSG00000259207, ENSG00000125266, ENSG00000168899, ENSG00000134824, ENSG00000112759, ENSG00000175591, ENSG00000068078, ENSG00000156453, ENSG00000196352, ENSG00000105426, ENSG00000196950, ENSG00000157168, ENSG00000159840, ENSG00000197106, ENSG00000139874, ENSG00000074370, ENSG00000132563, ENSG00000269113, ENSG00000085117, ENSG00000168785, ENSG00000144935, ENSG00000169992, ENSG00000166825, ENSG00000063660, ENSG00000147100, ENSG00000124249, ENSG00000128567, ENSG00000106771, ENSG00000146477, ENSG00000163235, ENSG00000144730, ENSG00000101187	292	1415	18224	1.808374074253352	0.07781934950495684	0.020250552310339127	0.019661445334038352
GOTERM_BP_DIRECT	GO:0030198~extracellular matrix organization	12	3.8338658146964857	4.1218065979185256E-4	ENSG00000103196, ENSG00000137809, ENSG00000166147, ENSG00000150093, ENSG00000132031, ENSG00000143382, ENSG00000132470, ENSG00000182871, ENSG00000259207, ENSG00000122335, ENSG00000081052, ENSG00000005884	277	196	16792	3.7114860384587045	0.490571907634748	0.40320247504645046	0.40320247504645046
KEGG_PATHWAY	hsa04510:Focal adhesion	12	3.8338658146964857	4.567602516675187E-4	ENSG00000137809, ENSG00000146648, ENSG00000105974, ENSG00000051382, ENSG00000150093, ENSG00000132470, ENSG00000259207, ENSG00000159840, ENSG00000162909, ENSG00000081052, ENSG00000197702, ENSG00000005884	112	206	6879	3.5778432732316228	0.08356225260844741	0.021924492080040898	0.02123935170253962
GOTERM_CC_DIRECT	GO:0045121~membrane raft	12	3.8338658146964857	4.933468302654735E-4	ENSG00000171867, ENSG00000198286, ENSG00000146648, ENSG00000105974, ENSG00000196352, ENSG00000150093, ENSG00000076641, ENSG00000063660, ENSG00000162909, ENSG00000128567, ENSG00000177469, ENSG00000148204	292	206	18224	3.6355898390743446	0.12689884178340205	0.027134075664601045	0.026344720736176285
GOTERM_BP_DIRECT	GO:0048333~mesodermal cell differentiation	4	1.2779552715654952	6.57251863644797E-4	ENSG00000150093, ENSG00000132470, ENSG00000259207, ENSG00000005884	277	11	16792	22.043977682966855	0.6589129526590956	0.40320247504645046	0.40320247504645046
GOTERM_CC_DIRECT	GO:0005829~cytosol	76	24.281150159744406	7.537578924960082E-4	ENSG00000158528, ENSG00000107338, ENSG00000160207, ENSG00000137309, ENSG00000115758, ENSG00000113658, ENSG00000157870, ENSG00000071051, ENSG00000031081, ENSG00000152229, ENSG00000162909, ENSG00000116285, ENSG00000148803, ENSG00000082512, ENSG00000159251, ENSG00000138030, ENSG00000160014, ENSG00000163888, ENSG00000135919, ENSG00000134709, ENSG00000101311, ENSG00000162434, ENSG00000155366, ENSG00000074211, ENSG00000099810, ENSG00000092621, ENSG00000164938, ENSG00000114019, ENSG00000154359, ENSG00000099250, ENSG00000167291, ENSG00000067208, ENSG00000157500, ENSG00000116675, ENSG00000139132, ENSG00000040933, ENSG00000051382, ENSG00000184254, ENSG00000182551, ENSG00000128965, ENSG00000104131, ENSG00000124762, ENSG00000164985, ENSG00000106992, ENSG00000213047, ENSG00000198286, ENSG00000214530, ENSG00000105810, ENSG00000133805, ENSG00000166170, ENSG00000198324, ENSG00000072163, ENSG00000177469, ENSG00000148180, ENSG00000137962, ENSG00000137841, ENSG00000196814, ENSG00000198915, ENSG00000120896, ENSG00000085449, ENSG00000169047, ENSG00000100523, ENSG00000111725, ENSG00000135838, ENSG00000006607, ENSG00000178209, ENSG00000106617, ENSG00000197702, ENSG00000166025, ENSG00000171206, ENSG00000143845, ENSG00000169213, ENSG00000182054, ENSG00000166825, ENSG00000140416, ENSG00000108395	292	3315	18224	1.4308394801545485	0.1872742689001563	0.032861304507277464	0.03190533928524758
GOTERM_CC_DIRECT	GO:0008305~integrin complex	5	1.5974440894568689	8.364695692761537E-4	ENSG00000137809, ENSG00000150093, ENSG00000132470, ENSG00000259207, ENSG00000005884	292	27	18224	11.557584982242515	0.2055660189457298	0.032861304507277464	0.03190533928524758
KEGG_PATHWAY	hsa04068:FoxO signaling pathway	9	2.8753993610223643	0.0013788536389248683	ENSG00000111725, ENSG00000204060, ENSG00000146648, ENSG00000051382, ENSG00000100889, ENSG00000169047, ENSG00000096717, ENSG00000106617, ENSG00000124762	112	134	6879	4.125199893390192	0.2316752474111694	0.05294797973471494	0.051293355368005104
