Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
down	hsa04510	Focal adhesion	7/55	203/8645	0.000276967447959982	0.0562243919358763	0.050437229996923	ZYX/COL4A4/PIK3CB/EGFR/CAV1/PARVA/ITGB4	7
down	hsa05223	Non-small cell lung cancer	4/55	72/8645	0.00109480818203937	0.067999763508946	0.0610005656574937	CDK6/RXRA/PIK3CB/EGFR	4
down	hsa05214	Glioma	4/55	75/8645	0.00127535009514846	0.067999763508946	0.0610005656574937	CDK6/CALM3/PIK3CB/EGFR	4
down	hsa05212	Pancreatic cancer	4/55	76/8645	0.00133989681791027	0.067999763508946	0.0610005656574937	CDK6/JAK1/PIK3CB/EGFR	4
down	hsa04151	PI3K-Akt signaling pathway	8/55	359/8645	0.00180179860421292	0.0731530233310445	0.0656234017955441	CDK6/RXRA/JAK1/GNG12/COL4A4/PIK3CB/EGFR/ITGB4	8
down	hsa05222	Small cell lung cancer	4/55	92/8645	0.00270714632076892	0.0739650539673846	0.0663518503311254	CDK6/RXRA/COL4A4/PIK3CB	4
down	hsa05163	Human cytomegalovirus infection	6/55	225/8645	0.00290614934359275	0.0739650539673846	0.0663518503311254	CDK6/JAK1/GNG12/CALM3/PIK3CB/EGFR	6
down	hsa05160	Hepatitis C	5/55	158/8645	0.00318876134688342	0.0739650539673846	0.0663518503311254	CDK6/RXRA/JAK1/PIK3CB/EGFR	5
down	hsa05410	Hypertrophic cardiomyopathy	4/55	97/8645	0.00327923884584464	0.0739650539673846	0.0663518503311254	ATP2A3/PRKAG2/TPM1/ITGB4	4
down	hsa05165	Human papillomavirus infection	7/55	331/8645	0.00472750520665743	0.0959683556951458	0.0860903579738669	CDK6/JAK1/COL4A4/HES6/PIK3CB/EGFR/ITGB4	7
down	hsa05167	Kaposi sarcoma-associated herpesvirus infection	5/55	194/8645	0.00758026331485613	0.133641296368021	0.119885632728378	CDK6/JAK1/GNG12/CALM3/PIK3CB	5
down	hsa04926	Relaxin signaling pathway	4/55	129/8645	0.00897255058037195	0.133641296368021	0.119885632728378	GNG12/COL4A4/PIK3CB/EGFR	4
down	hsa00515	Mannose type O-glycan biosynthesis	2/55	23/8645	0.00922991751602834	0.133641296368021	0.119885632728378	POMK/B4GAT1	2
down	hsa04068	FoxO signaling pathway	4/55	131/8645	0.00946035075148269	0.133641296368021	0.119885632728378	PIK3CB/EGFR/PRKAG2/FOXO6	4
down	hsa05230	Central carbon metabolism in cancer	3/55	70/8645	0.00987497263803111	0.133641296368021	0.119885632728378	PIK3CB/EGFR/IDH2	3
down	hsa05218	Melanoma	3/55	72/8645	0.0106634967486174	0.135293114998084	0.121367430099396	CDK6/PIK3CB/EGFR	3
down	hsa01040	Biosynthesis of unsaturated fatty acids	2/55	27/8645	0.0125990446964836	0.147630832845053	0.132435229879151	ELOVL7/FADS2	2
down	hsa01521	EGFR tyrosine kinase inhibitor resistance	3/55	79/8645	0.013705541861387	0.147630832845053	0.132435229879151	JAK1/PIK3CB/EGFR	3
down	hsa04024	cAMP signaling pathway	5/55	225/8645	0.0138176641579114	0.147630832845053	0.132435229879151	ATP2A3/CALM3/GRIN2D/PIK3CB/SSTR1	5
down	hsa04921	Oxytocin signaling pathway	4/55	154/8645	0.0163472686855387	0.165924777158218	0.148846183294642	CALM3/EGFR/PRKAG2/KCNJ12	4
down	hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	3/55	89/8645	0.0188274777906004	0.180619711132768	0.16202857156323	JAK1/PIK3CB/EGFR	3
down	hsa04710	Circadian rhythm	2/55	34/8645	0.0195745499749798	0.180619711132768	0.16202857156323	NR1D2/PRKAG2	2
down	hsa04070	Phosphatidylinositol signaling system	3/55	97/8645	0.0235925501943304	0.199553653727045	0.179013648404349	CALM3/INPP4A/PIK3CB	3
down	hsa04713	Circadian entrainment	3/55	97/8645	0.0235925501943304	0.199553653727045	0.179013648404349	GNG12/CALM3/GRIN2D	3
down	hsa04933	AGE-RAGE signaling pathway in diabetic complications	3/55	100/8645	0.0255332289011289	0.207329818677167	0.185989414732434	F3/COL4A4/PIK3CB	3
down	hsa05414	Dilated cardiomyopathy	3/55	103/8645	0.0275577562956434	0.215162481846755	0.193015863933049	ATP2A3/TPM1/ITGB4	3
