"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"ENSEMBL"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"SYMBOL"	"GENENAME"	"gene_name"	"fold_enrichment"	"-log10(pvalue)"	"-log10(qvalue)"
"chr1"	940217	942869	2653	"*"	"pool_peak_5"	167	"Promoter (<=1kb)"	1	940346	942173	1828	1	"ENSG00000187634"	"ENST00000478729.1"	0	"148398"	"SAMD11"	"sterile alpha motif domain containing 11"	"SAMD11"	4.94802	19.8376	16.7583
"chr1"	999840	1001953	2114	"*"	"pool_peak_7"	163	"Promoter (<=1kb)"	1	1001138	1014540	13403	1	"ENSG00000187608"	"ENST00000624697.4"	0	"9636"	"ISG15"	"ISG15 ubiquitin like modifier"	"ISG15"	4.91756	19.4433	16.3878
"chr1"	1019405	1020715	1311	"*"	"pool_peak_8"	240	"Promoter (<=1kb)"	1	1020120	1056116	35997	1	"ENSG00000188157"	"ENST00000379370.7"	0	"375790"	"AGRN"	"agrin"	"AGRN"	5.62255	27.2322	24.0411
"chr1"	1059206	1059987	782	"*"	"pool_peak_12"	163	"Promoter (<=1kb)"	1	1059708	1066459	6752	1	"ENSG00000217801"	"ENST00000394517.7"	0	"100288175"	"LOC100288175"	"uncharacterized LOC100288175"	"AL390719.1"	7.72011	19.4948	16.3819
"chr1"	1115880	1116883	1004	"*"	"pool_peak_16"	166	"Promoter (<=1kb)"	1	1081818	1116081	34264	2	"ENSG00000131591"	"ENST00000379339.5"	0	"54991"	"C1orf159"	"chromosome 1 open reading frame 159"	"C1orf159"	7.0915	19.6745	16.6114
"chr1"	1273355	1274348	994	"*"	"pool_peak_28"	125	"Promoter (<=1kb)"	1	1253909	1273853	19945	2	"ENSG00000160087"	"ENST00000450390.6"	0	"118424"	"UBE2J2"	"ubiquitin conjugating enzyme E2 J2"	"UBE2J2"	6.62312	15.5582	12.5672
"chr1"	1307957	1309003	1047	"*"	"pool_peak_30"	190	"Promoter (<=1kb)"	1	1308597	1311677	3081	1	"ENSG00000169972"	"ENST00000379031.10"	0	"126789"	"PUSL1"	"pseudouridine synthase like 1"	"PUSL1"	6.4442	22.179	19.0077
"chr1"	1324399	1325137	739	"*"	"pool_peak_32"	147	"Promoter (<=1kb)"	1	1311585	1324687	13103	2	"ENSG00000127054"	"ENST00000540437.5"	0	"54973"	"INTS11"	"integrator complex subunit 11"	"INTS11"	6.08466	17.6494	14.7049
"chr1"	1349597	1350010	414	"*"	"pool_peak_34"	98	"Promoter (<=1kb)"	1	1335278	1349418	14141	2	"ENSG00000107404"	"ENST00000378888.10"	-179	"1855"	"DVL1"	"dishevelled segment polarity protein 1"	"DVL1"	6.58495	12.7972	9.84297
"chr1"	1374779	1375360	582	"*"	"pool_peak_36"	158	"Promoter (<=1kb)"	1	1373730	1375157	1428	2	"ENSG00000175756"	"ENST00000338370.7"	0	"54998"	"AURKAIP1"	"aurora kinase A interacting protein 1"	"AURKAIP1"	9.54324	18.9781	15.8777
"chr1"	1398991	1399550	560	"*"	"pool_peak_37"	204	"Promoter (<=1kb)"	1	1385711	1399335	13625	2	"ENSG00000221978"	"ENST00000400809.8"	0	"81669"	"CCNL2"	"cyclin L2"	"CCNL2"	10.1846	23.6671	20.4803
"chr1"	1407023	1407767	745	"*"	"pool_peak_38"	91	"Promoter (<=1kb)"	1	1401909	1407293	5385	2	"ENSG00000242485"	"ENST00000344843.12"	0	"55052"	"MRPL20"	"mitochondrial ribosomal protein L20"	"MRPL20"	7.06503	12.0603	9.13513
"chr1"	1511332	1511792	461	"*"	"pool_peak_43"	92	"Promoter (<=1kb)"	1	1512162	1534685	22524	1	"ENSG00000197785"	"ENST00000378756.8"	-370	"55210"	"ATAD3A"	"ATPase family AAA domain containing 3A"	"ATAD3A"	7.7509	12.2298	9.29496
"chr1"	1606327	1606777	451	"*"	"pool_peak_48"	100	"Distal Intergenic"	1	1600314	1602703	2390	1	"ENSG00000286989"	"ENST00000658591.1"	6013	NA	NA	NA	"AL691432.4"	7.79847	12.988	10.0419
"chr1"	1615383	1616476	1094	"*"	"pool_peak_49"	85	"Promoter (<=1kb)"	1	1615415	1630605	15191	1	"ENSG00000197530"	"ENST00000520777.5"	0	"142678"	"MIB2"	"mindbomb E3 ubiquitin protein ligase 2"	"MIB2"	5.60274	11.421	8.51668
"chr1"	1778185	1778967	783	"*"	"pool_peak_53"	111	"Promoter (<=1kb)"	1	1751232	1778470	27239	2	"ENSG00000008130"	"ENST00000341426.9"	0	"65220"	"NADK"	"NAD kinase"	"NADK"	7.22872	14.1179	11.1618
