"ENSEMBL"	"gene_name"	"transcript_type"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"change"
"ENSG00000104824"	"HNRNPL"	"protein_coding"	1049.11485384581	-2.51845265867712	0.177182946954139	-14.2138546737739	7.51712344623035e-46	1.26813872537906e-41	"DOWN"
"ENSG00000287781"	"AC018714.2"	"lncRNA"	575.833552392308	2.00237982370377	0.176047993933836	11.374056465854	5.63084959308154e-30	4.74962163176428e-26	"UP"
"ENSG00000184979"	"USP18"	"protein_coding"	464.93747910332	1.89789348793343	0.180816083498395	10.4962647747554	8.98660417536701e-26	5.05346708128138e-22	"UP"
"ENSG00000100985"	"MMP9"	"protein_coding"	360.305460912384	-1.87303241576265	0.18477606933827	-10.1367694554304	3.79440720708354e-24	1.60029123958748e-20	"DOWN"
"ENSG00000134333"	"LDHA"	"protein_coding"	13333.0174358242	1.23137643284435	0.123552388490923	9.96643163183211	2.13771520121575e-23	7.21265108890195e-20	"UP"
"ENSG00000148943"	"LIN7C"	"protein_coding"	866.08481984663	-1.61682912457503	0.169692274050237	-9.52800670286484	1.60332075355873e-21	4.50800351875597e-18	"DOWN"
"ENSG00000050405"	"LIMA1"	"protein_coding"	3313.44210152052	1.58840531940066	0.169953381866028	9.34612363673217	9.09188937314708e-21	2.19114533892845e-17	"UP"
"ENSG00000088930"	"XRN2"	"protein_coding"	1001.29155101092	-1.42742735083636	0.163747072492262	-8.71726943945097	2.84991374731501e-18	6.00975561465053e-15	"DOWN"
"ENSG00000176678"	"FOXL1"	"protein_coding"	439.346349521695	-1.32263783498314	0.156329051103662	-8.46060169652089	2.66001464827089e-17	4.98604967959221e-14	"DOWN"
"ENSG00000268854"	"AC020909.3"	"lncRNA"	779.267203107489	1.33700487235223	0.164420212627563	8.13163327662608	4.2354450947588e-16	7.1451958748581e-13	"UP"
"ENSG00000161671"	"EMC10"	"nonsense_mediated_decay"	2169.67348654708	1.19166417514194	0.147598839851761	8.07366898234955	6.82166569182216e-16	1.00245291899862e-12	"UP"
"ENSG00000119681"	"LTBP2"	"protein_coding"	323.312316449509	-1.93817565891059	0.240222240397236	-8.06826068937492	7.1306668808438e-16	1.00245291899862e-12	"DOWN"
"ENSG00000002079"	"MYH16"	"transcribed_unitary_pseudogene"	136.852504762223	-1.77672608736331	0.227014079764887	-7.82650172713262	5.01632422824171e-15	6.50964536387982e-12	"DOWN"
"ENSG00000167461"	"RAB8A"	"protein_coding"	1305.84093310358	1.06393483362343	0.136331011272351	7.8040559055048	5.9948614919916e-15	7.22380809784988e-12	"UP"
"ENSG00000156453"	"PCDH1"	"protein_coding"	210.749449561063	-1.70865840007675	0.225005397116254	-7.59385517847796	3.10525439689013e-14	3.49237611170243e-11	"DOWN"
"ENSG00000134748"	"PRPF38A"	"protein_coding"	973.657040315358	1.18666306964153	0.157787194754165	7.52065509175424	5.4502457273832e-14	5.65426308142675e-11	"UP"
"ENSG00000101188"	"NTSR1"	"protein_coding"	219.472043682072	-1.53103055399699	0.203734146126647	-7.51484512098066	5.69783475899553e-14	5.65426308142675e-11	"DOWN"
"ENSG00000070367"	"EXOC5"	"protein_coding"	789.703298662264	1.20989138588082	0.16130279920024	7.50074637191429	6.34554669685377e-14	5.94718737644017e-11	"UP"
"ENSG00000144959"	"NCEH1"	"protein_coding"	766.288091099689	-1.18918672441498	0.162291923576731	-7.32745473839146	2.34564850577212e-13	2.0803977682714e-10	"DOWN"
"ENSG00000198286"	"CARD11"	"protein_coding"	552.316104432238	-1.1286943846472	0.154300336368626	-7.3149184973306	2.57537656367063e-13	2.0803977682714e-10	"DOWN"
"ENSG00000171552"	"BCL2L1"	"protein_coding"	3361.94524966334	-1.02399239941088	0.140037667402907	-7.31226403867979	2.62678294856708e-13	2.0803977682714e-10	"DOWN"
"ENSG00000053108"	"FSTL4"	"protein_coding"	281.130093430113	-1.6887333313466	0.231082520598649	-7.30792327767465	2.71302613526797e-13	2.0803977682714e-10	"DOWN"
"ENSG00000165072"	"MAMDC2"	"protein_coding"	218.887052005134	-1.40399422741029	0.193186116217316	-7.26757313051901	3.66003205283381e-13	2.68455394483941e-10	"DOWN"
"ENSG00000241322"	"CDRT1"	"protein_coding"	85.3553106308622	2.24657122306092	0.314778810259142	7.13698365277964	9.54011857706985e-13	6.70590834979868e-10	"UP"
"ENSG00000149591"	"TAGLN"	"protein_coding"	202.363132029169	-1.59640302800059	0.22570778383984	-7.07287538268232	1.51755761682202e-12	1.0240478798315e-09	"DOWN"
"ENSG00000171345"	"KRT19"	"protein_coding"	1812.54797548524	-1.07587204786598	0.152927303017822	-7.03518617431314	1.98995119027405e-12	1.26712567455686e-09	"DOWN"
"ENSG00000076382"	"SPAG5"	"retained_intron"	971.867334118437	0.944162707253702	0.134256195684703	7.03254477336032	2.0280019687632e-12	1.26712567455686e-09	"UP"
"ENSG00000198843"	"SELENOT"	"protein_coding"	1062.99939158378	1.04890026428065	0.151448622065231	6.92578281649121	4.33571204570089e-12	2.61226650753478e-09	"UP"
"ENSG00000187735"	"TCEA1"	"protein_coding"	1098.06216517312	-1.33986283006754	0.19385876056068	-6.9115413004415	4.79415910815249e-12	2.77226214018763e-09	"DOWN"
"ENSG00000136859"	"ANGPTL2"	"protein_coding"	374.805662987933	-1.45541025310012	0.210828407199202	-6.90329293113227	5.08107011758833e-12	2.77226214018763e-09	"DOWN"
"ENSG00000162434"	"JAK1"	"protein_coding"	1728.4975508311	-1.0161727805407	0.147209016447493	-6.90292486875727	5.09425763757064e-12	2.77226214018763e-09	"DOWN"
"ENSG00000269243"	"AC008894.2"	"lncRNA"	1043.96242892227	1.12185007752257	0.162689622338643	6.89564620899673	5.36204919349911e-12	2.82680530919781e-09	"UP"
"ENSG00000100234"	"TIMP3"	"protein_coding"	586.220275091248	-1.00456597265084	0.145904107754492	-6.8851109685081	5.77425057500007e-12	2.9518668848561e-09	"DOWN"
"ENSG00000101187"	"SLCO4A1"	"protein_coding"	1295.42769126848	-1.47989672319655	0.215567176914899	-6.86513013890227	6.6430664777853e-12	3.29613327883053e-09	"DOWN"
"ENSG00000129038"	"LOXL1"	"nonsense_mediated_decay"	152.621463120091	-1.4289075057569	0.209141698790112	-6.83224586021415	8.35954167834125e-12	4.02929908896048e-09	"DOWN"
"ENSG00000253368"	"TRNP1"	"protein_coding"	143.715429795657	-1.53304590222796	0.22471083483901	-6.82230522318289	8.95910584325933e-12	4.1983365437718e-09	"DOWN"
"ENSG00000111897"	"SERINC1"	"protein_coding"	1065.21645046093	-1.30814950500424	0.192534755143067	-6.79435514918952	1.08798066821881e-11	4.96060374941926e-09	"DOWN"
